chr1	17345224	17380665	SDHB
chr1	100652477	100715409	DBT
chr1	167885912	167906307	MPC2
chr1	241660856	241683085	FH
chr1	220267454	220321383	IARS2
chr1	36921361	36930040	MRPS15
chr1	46769379	46782447	UQCRH
chr1	53662100	53679869	CPT2
chr1	76190031	76229363	ACADM
chr1	161169104	161184184	NDUFS2
chr1	161284165	161334535	SDHC
chr1	19923470	19956315	MINOS1
chr1	228294379	228297013	MRPL55
chr1	29519168	29557470	MECR
chr1	174982093	174992591	MRPS14
chr1	234509213	234519795	COA6
chr1	228353428	228369958	IBA57
chr1	155658881	155708800	DAP3
chr1	19197923	19229293	ALDH4A1
chr1	161195728	161200536	TOMM40L
chr1	227127937	227175246	ADCK3
chr1	156707093	156710923	MRPL24
chr1	39491966	39500308	NDUFS5
chr1	53361581	53387446	ECHDC2
chr1	155178489	155183624	MTX1
chr1	201924618	201939789	TIMM17A
chr1	165631448	165667900	ALDH9A1
chr1	1337275	1342693	MRPL20
chr1	150266261	150281414	MRPS21
chr1	28562601	28564616	ATPIF1
chr1	111991742	112004525	ATP5F1
chr1	151732122	151736040	MRPL9
chr1	119573838	119683295	WARS2
chr1	6694227	6761966	DNAJC11
chr1	151843342	151882361	THEM4
chr1	65613231	65697828	AK4
chr1	1447522	1470067	ATAD3A
chr1	54665839	54684056	MRPL37
chr1	220921675	220957596	MARC2
chr1	173793796	173827682	DARS2
chr1	12040237	12073572	MFN2
chr1	229652328	229694442	ABCB10
chr1	193065594	193075244	GLRX2
chr1	108677343	108742980	SLC25A24
chr1	33473540	33502512	AK2
chr1	156561557	156564091	APOA1BP
chr1	1309109	1310818	AURKAIP1
chr1	24128366	24151949	HMGCL
chr1	89401455	89458643	CCBL2
chr1	150459839	150480085	TARS2
chr1	156163722	156182587	SLC25A44
chr1	119911401	119936751	HAO2
chr1	149871154	149872348	BOLA1
chr1	161136180	161141010	PPOX
chr1	94883932	94984219	ABCD3
chr1	47100710	47134099	ATPAF1
chr1	113454469	113498975	SLC16A1
chr1	26146396	26159433	MTFR1L
chr1	161087861	161095235	NIT1
chr1	40306705	40349177	TRIT1
chr1	241695433	241758949	KMO
chr1	58946390	59012446	OMA1
chr1	154955769	154965587	FLAD1
chr1	120290618	120311555	HMGCS2
chr1	228327784	228336655	GUK1
chr1	19629201	19638640	AKR7A2
chr1	173446485	173457946	PRDX6
chr1	9599527	9642831	SLC25A33
chr1	55222570	55230226	PARS2
chr1	219347191	219386207	LYPLAL1
chr1	1243993	1247057	PUSL1
chr1	52254865	52344609	NRD1
chr1	46805848	46830824	NSUN4
chr1	110527386	110566364	AHCYL1
chr1	220960038	220987741	MARC1
chr1	244998638	245008359	COX20
chr1	20959947	20978004	PINK1
chr1	155278538	155290457	FDPS
chr1	85784167	86044046	DDAH1
chr1	6324331	6453826	ACOT7
chr1	226107576	226112040	PYCR2
chr1	161007421	161008774	TSTD1
chr1	16340522	16345285	HSPB7
chr1	16062808	16067884	SLC25A34
chr1	55315299	55352921	DHCR24
chr1	145516164	145523732	PEX11B
chr1	228395830	228566575	OBSCN
chr1	53392900	53517289	SCP2
chr1	155259083	155271225	PKLR
chr1	20825940	20834674	MUL1
chr1	15898193	15911605	AGMAT
chr1	165600109	165625372	MGST3
chr1	147119167	147142634	ACP6
chr1	45794913	45806142	MUTYH
chr1	246703862	246729565	TFB2M
chr1	45965855	45976739	MMACHC
chr1	75171171	75199092	CRYZ
chr1	235272657	235292256	TOMM20
chr1	53152013	53164038	COA7
chr1	246887377	246931440	SCCPDH
chr1	8021713	8045342	PARK7
chr1	10270763	10441661	KIF1B
chr1	1407163	1431582	ATAD3B
chr1	213165523	213189168	ANGEL2
chr1	52485803	52521843	TXNDC12
chr1	151744040	151763010	TDRKH
chr1	84964005	84972262	GNG5
chr1	182992594	183114727	LAMC1
chr1	25071759	25170815	CLIC4
chr10	135175986	135186908	ECHS1
chr10	101468504	101492423	COX15
chr10	102737578	102747272	MRPL43
chr10	102283485	102289680	NDUFB8
chr10	11784355	11806065	ECHDC3
chr10	70939992	70968849	SUPV3L1
chr10	120927214	120938377	PRDX3
chr10	85899184	85913311	GHITM
chr10	3179918	3215033	PITRM1
chr10	50942686	50970425	OGDHL
chr10	7830092	7849762	ATP5C1
chr10	76969911	76991207	VDAC2
chr10	124768428	124817806	ACADSB
chr10	81107219	81115089	PPIF
chr10	135207620	135234174	MTG1
chr10	75008600	75012451	MRPS16
chr10	12110915	12165227	DHTKD1
chr10	23384426	23410942	MSRB2
chr10	60028861	60049019	CISD1
chr10	89512874	89577917	ATAD1
chr10	51592080	51623386	TIMM23
chr10	75541807	75543406	CHCHD1
chr10	94211440	94333852	IDE
chr10	26986594	27035726	PDSS1
chr10	70242089	70287280	SLC25A16
chr10	126085871	126107545	OAT
chr10	88809958	88854776	GLUD1
chr10	60144902	60158990	TFAM
chr10	97365685	97416567	ALDH18A1
chr10	27399039	27443349	YME1L1
chr10	102790995	102800998	SFXN3
chr10	99344101	99372555	HOGA1
chr10	74451888	74647452	MCU
chr10	74870132	74891586	NUDT13
chr10	13319795	13342130	PHYH
chr10	71897736	71906496	TYSND1
chr10	106013951	106027222	GSTO1
chr10	30598729	30638267	MTPAP
chr10	104474297	104498946	SFXN2
chr10	25305507	25315593	THNSL1
chr10	1085963	1095061	IDI1
chr10	102747292	102754158	C10orf2
chr10	71029755	71161637	HK1
chr10	101370274	101380221	SLC25A28
chr10	12209572	12238143	NUDT5
chr10	74127083	74385949	MICU1
chr10	133781203	133795435	BNIP3
chr10	94050919	94113721	MARCH5
chr10	120900424	120925204	SFXN4
chr10	71872022	71892690	AIFM2
chr10	113909621	113943537	GPAM
chr10	82167584	82192753	FAM213A
chr10	105148808	105156270	USMG5
chr10	76993728	76995770	COMTD1
chr10	124739555	124749907	PSTK
chr10	51565107	51590734	NCOA4
chr10	70173820	70231730	DNA2
chr10	45471708	45474330	C10orf10
